iter	MultiClass
0	1.029964213
1	0.9760690939
2	0.9309008809
3	0.8938618269
4	0.8633593809
5	0.8359878898
6	0.812226514
7	0.7923699561
8	0.7752332913
9	0.7604385889
10	0.747478262
11	0.7356337432
12	0.7239202627
13	0.7150374953
14	0.7057408758
15	0.6981256783
16	0.6923108968
17	0.6861885314
18	0.6808007194
19	0.6759216561
20	0.6722234973
21	0.667764904
22	0.6630148012
23	0.6591214889
24	0.6547275011
25	0.6533710135
26	0.6503950692
27	0.6467864799
28	0.6448651065
29	0.6426100185
30	0.6403141295
31	0.6364383252
32	0.633617489
33	0.6318102315
34	0.6299020796
35	0.6277273711
36	0.6250937661
37	0.6224871042
38	0.6205298406
39	0.6184208188
40	0.6167241083
41	0.6156077341
42	0.614040449
43	0.6123921119
44	0.6104338509
45	0.6086534
46	0.6073686976
47	0.604859178
48	0.6031672388
49	0.6010138045
50	0.599890029
51	0.5985892982
52	0.5975561047
53	0.5960954686
54	0.5946470262
55	0.5936041035
56	0.5927711512
57	0.5915770581
58	0.5905061432
59	0.5893891491
60	0.5877667347
61	0.5862611997
62	0.5852800927
63	0.5843793564
64	0.5835623253
65	0.5828438624
66	0.5811664659
67	0.5804436679
68	0.5796391593
69	0.5789698015
70	0.5782524616
71	0.5768718338
72	0.5749645617
73	0.5741650538
74	0.5728983005
75	0.5724036175
76	0.5712384693
77	0.5701396795
78	0.570139353
79	0.5694477691
80	0.568785458
81	0.5673563782
82	0.5660926186
83	0.5655472999
84	0.5650935179
85	0.563448139
86	0.5625865325
87	0.561643979
88	0.5606094642
89	0.5595685461
90	0.5585437316
91	0.5579660094
92	0.5570531618
93	0.5561436818
94	0.5549339319
95	0.5542852745
96	0.5537040572
97	0.5529260821
98	0.5521541605
99	0.5512181634
100	0.5506931214
101	0.5499321799
102	0.5490869401
103	0.5484682956
104	0.5480416665
105	0.5473336145
106	0.5459803188
107	0.54493717
108	0.5443170451
109	0.5437993664
110	0.5432257904
111	0.5422393775
112	0.541588641
113	0.5406761162
114	0.5398994432
115	0.5389514871
116	0.5384360216
117	0.5378092024
118	0.5371986954
119	0.5365775616
120	0.5361115851
121	0.5353549485
122	0.5346353844
123	0.5342670289
124	0.5332729318
125	0.5328058255
126	0.5320206441
127	0.5315661455
128	0.5308420125
129	0.5302492603
130	0.5297746565
131	0.5287123381
132	0.5275724313
133	0.5273007726
134	0.5269212899
135	0.526263675
136	0.5255923626
137	0.5253632906
138	0.524709643
139	0.524271683
140	0.5238018377
141	0.5234821284
142	0.5229407224
143	0.5223580985
144	0.5218661626
145	0.5215170524
146	0.5211784608
147	0.5208330727
148	0.5201880833
149	0.5197158957
150	0.5192489852
151	0.5186410012
152	0.5180942961
153	0.5171245561
154	0.5167622915
155	0.5162939844
156	0.5156260072
157	0.5153472193
158	0.5148654845
159	0.5142873816
160	0.5135199197
161	0.5131917025
162	0.5123371302
163	0.5119488003
164	0.5113774471
165	0.5111543093
166	0.5108597083
167	0.5104176697
168	0.5097880888
169	0.5095497261
170	0.5090491858
171	0.5086718169
172	0.508031304
173	0.5073964877
174	0.506743695
175	0.5063753218
176	0.5059353355
177	0.5055612792
178	0.505208636
179	0.5048180297
180	0.5041929637
181	0.5037543132
182	0.5034067342
183	0.5027353583
184	0.5023155226
185	0.5018018152
186	0.5014787661
187	0.5012020979
188	0.5009207399
189	0.5003838222
190	0.4998425254
191	0.4994530963
192	0.4988861769
193	0.4981966998
194	0.4978778268
195	0.4971612853
196	0.4965672564
197	0.4962774573
198	0.4956607795
199	0.4953604587
200	0.4950461017
201	0.4946607527
202	0.4943791027
203	0.4939550667
204	0.4934900221
205	0.4931385377
206	0.4927014421
207	0.4918828349
208	0.4913675634
209	0.491084848
210	0.4907302291
211	0.4904520337
212	0.4899781245
213	0.4897967834
214	0.4895367445
215	0.4890557762
216	0.4885584802
217	0.4881791571
218	0.4879163097
219	0.4875517436
220	0.4873011389
221	0.4871064904
222	0.4866852389
223	0.4862489479
224	0.4858386759
225	0.4854405319
226	0.4850747598
227	0.4845962688
228	0.484355254
229	0.4839241049
230	0.4835990591
231	0.4831498849
232	0.4829073288
233	0.4824710481
234	0.4818372222
235	0.4814285693
236	0.4811503548
237	0.4808600063
238	0.4804445557
239	0.4800056257
240	0.4797923346
241	0.479569756
242	0.4790529624
243	0.4783293479
244	0.4780136716
245	0.4777562074
246	0.4773843677
247	0.4767981702
248	0.476378748
249	0.4759369366
250	0.4757058214
251	0.4753157929
252	0.4747794215
253	0.4746073715
254	0.4741849632
255	0.4739669927
256	0.4737355399
257	0.4733427637
258	0.4729475103
259	0.4724695087
260	0.4722094613
261	0.4718265018
262	0.4715770525
263	0.4713934926
264	0.4711083543
265	0.4707453539
266	0.470531148
267	0.4703098496
268	0.4699848611
269	0.469594213
270	0.4693130604
271	0.468920449
272	0.468531252
273	0.46813763
274	0.4679260255
275	0.4676859126
276	0.4673330765
277	0.4670529654
278	0.4668605863
279	0.4666473982
280	0.4664376743
281	0.4661820426
282	0.4660218586
283	0.4657050756
284	0.4654816865
285	0.4651983468
286	0.4648448141
287	0.4645831726
288	0.464026213
289	0.4638261498
290	0.4636735951
291	0.4634428204
292	0.4630290654
293	0.4628080662
294	0.4625745718
295	0.4624218848
296	0.462182796
297	0.4619348161
298	0.461701908
299	0.4612955816
300	0.4609896732
301	0.4605312676
302	0.4603356015
303	0.4601489078
304	0.4598447794
305	0.4595224769
306	0.4592191549
307	0.4588329888
308	0.4583732462
309	0.4581526694
310	0.4578284852
311	0.4575990041
312	0.4574086673
313	0.457196557
314	0.4570802291
315	0.4568278366
316	0.4566115768
317	0.4563770824
318	0.4562168059
319	0.4559900736
320	0.4557483075
321	0.4556365271
322	0.4554155157
323	0.4552277025
324	0.4550183917
325	0.4547208725
326	0.4545837587
327	0.4544228985
328	0.4540307204
329	0.4537005759
330	0.4534955771
331	0.4533151242
332	0.4530711253
333	0.4526710563
334	0.4523782334
335	0.4522699637
336	0.4520335123
337	0.4517989626
338	0.4515906212
339	0.4514294754
340	0.4512154805
341	0.4509722657
342	0.4506676886
343	0.4504343294
344	0.4501038377
345	0.4498663483
346	0.4496449064
347	0.4494178263
348	0.4491679948
349	0.4489828155
350	0.4486930663
351	0.4485238499
352	0.4483821104
353	0.4481529186
354	0.4479704941
355	0.4476933419
356	0.447557016
357	0.447330423
358	0.4470338234
359	0.4467832203
360	0.4466797425
361	0.4463998982
362	0.446175113
363	0.446053001
364	0.4458591419
365	0.4456307048
366	0.4453702751
367	0.4451420359
368	0.4449213453
369	0.4447140759
370	0.444500964
371	0.4443251228
372	0.4441707547
373	0.4440014581
374	0.4438745881
375	0.4435465949
376	0.4434252554
377	0.4431978074
378	0.442920549
379	0.4427836898
380	0.442498246
381	0.4422492411
382	0.4420496127
383	0.4418881472
384	0.4417280867
385	0.4415421273
386	0.441344732
387	0.4411763021
388	0.4408822536
389	0.4406859088
390	0.4405808958
391	0.4401196681
392	0.439791054
393	0.4394165975
394	0.4393287527
395	0.439197544
396	0.4389917606
397	0.438814771
398	0.4386686536
399	0.4385420133
400	0.4383982094
401	0.4382041978
