iter	Passed	Remaining
0	8	8850
1	17	8588
2	24	8021
3	32	8189
4	40	8023
5	47	7860
6	56	8041
7	64	8046
8	73	8041
9	81	8080
10	88	7980
11	96	7965
12	105	7991
13	113	8007
14	122	8016
15	131	8089
16	141	8160
17	147	8066
18	155	8031
19	163	8026
20	171	7990
21	179	7988
22	185	7883
23	192	7837
24	199	7762
25	203	7606
26	210	7572
27	215	7497
28	222	7458
29	228	7388
30	234	7337
31	241	7299
32	247	7246
33	253	7198
34	260	7186
35	267	7154
36	273	7111
37	279	7065
38	285	7040
39	291	7002
40	298	6970
41	304	6953
42	311	6927
43	318	6920
44	325	6907
45	331	6869
46	337	6846
47	343	6811
48	349	6785
49	356	6772
50	364	6784
51	371	6781
52	378	6760
53	384	6738
54	392	6743
55	398	6709
56	404	6691
57	410	6668
58	417	6658
59	422	6617
60	427	6587
61	434	6569
62	439	6539
63	447	6540
64	454	6540
65	462	6544
66	468	6521
67	474	6501
68	482	6508
69	489	6497
70	496	6490
71	502	6480
72	507	6449
73	513	6431
74	520	6413
75	526	6403
76	532	6377
77	537	6353
78	539	6284
79	545	6271
80	552	6265
81	558	6255
82	564	6233
83	570	6223
84	578	6222
85	583	6205
86	589	6190
87	596	6182
88	602	6170
89	608	6156
90	614	6141
91	639	6310
92	644	6287
93	651	6283
94	658	6268
95	665	6263
96	671	6247
97	677	6236
98	694	6320
99	700	6302
100	707	6297
101	715	6295
102	726	6326
103	735	6338
104	744	6342
105	749	6324
106	757	6319
107	763	6306
108	770	6298
109	778	6302
110	785	6292
111	792	6284
112	799	6273
113	806	6264
114	813	6257
115	820	6251
116	826	6237
117	832	6223
118	839	6212
119	845	6197
120	851	6186
121	858	6177
122	864	6164
123	871	6157
124	877	6144
125	884	6138
126	891	6130
127	899	6126
128	907	6125
129	913	6115
130	920	6102
131	925	6088
132	932	6078
133	939	6070
134	945	6060
135	952	6049
136	959	6043
137	966	6036
138	972	6025
139	979	6019
140	986	6012
141	992	5998
142	999	5991
143	1007	5987
144	1013	5978
145	1020	5969
146	1026	5959
147	1035	5961
148	1041	5947
149	1047	5934
150	1053	5920
151	1058	5906
152	1066	5903
153	1072	5889
154	1079	5882
155	1088	5888
156	1096	5885
157	1103	5878
158	1108	5864
159	1115	5857
160	1122	5847
161	1129	5842
162	1136	5838
163	1144	5833
164	1151	5826
165	1160	5830
166	1169	5831
167	1175	5820
168	1182	5813
169	1198	5851
170	1231	5970
171	1239	5968
172	1248	5966
173	1255	5961
174	1263	5956
175	1275	5972
176	1287	5988
177	1295	5982
178	1303	5980
